price,host_response_rate,host_acceptance_rate,host_is_superhost,neighbourhood_cleansed,accommodates,bathrooms,bedrooms,beds,guests_included,review_scores_rating,reviews_per_month
220.00,1.00,0.44,f,West Cambridge,5,1,2,2,3,95,0.25
105.00,1.00,0.39,f,North Cambridge,3,1,1,1,1,95,1.19
75.00,1.00,0.39,f,North Cambridge,1,1,1,1,1,98,0.27
185.00,1.00,0.57,t,The Port,1,1,1,1,1,80,0.05
110.00,1.00,0.68,t,Neighborhood Nine,2,1.5,1,1,1,96,0.9
200.00,0.75,1.00,f,Riverside,2,1,1,2,1,80,0.04
250.00,1.00,0.57,t,The Port,2,1,1,1,2,88,0.09
225.00,1.00,0.94,t,The Port,5,1,2,3,4,97,3.24
260.00,1.00,0.57,t,The Port,3,1,1,1,2,96,0.14
180.00,1.00,0.44,f,West Cambridge,4,1,1,1,2,93,0.17
144.00,1.00,0.91,f,Cambridgeport,2,1,1,1,1,89,0.58
225.00,1.00,0.99,t,Mid-Cambridge,4,1,1,1,2,98,1.69
194.00,0.88,0.78,f,Riverside,4,1,1,1,3,91,0.82
300.00,1.00,1.00,f,The Port,6,2,2,4,4,96,0.6
110.00,N/A,1.00,t,Agassiz,3,1,1,1,2,97,2.27
180.00,0.70,0.46,f,Mid-Cambridge,4,1,1,1,2,95,0.56
150.00,1.00,0.44,f,West Cambridge,4,1,2,4,2,100,0.02
350.00,1.00,1.00,f,Wellington-Harrington,6,2,4,6,1,99,0.52
100.00,1.00,1.00,t,Cambridgeport,2,1,1,0,2,96,4.01
175.00,N/A,0.81,f,Wellington-Harrington,3,1,1,1,3,96,2.95
150.00,1.00,0.95,t,Cambridgeport,3,1,1,2,3,92,1.42
65.00,N/A,1.00,f,North Cambridge,2,1,1,1,1,94,4.58
98.00,1.00,0.80,t,The Port,2,1,1,1,1,99,3.32
70.00,1.00,0.98,t,Agassiz,2,1,1,1,1,98,5.18
100.00,N/A,0.50,t,Mid-Cambridge,2,1,1,1,1,96,0.07
125.00,0.80,0.00,f,Mid-Cambridge,3,1,1,1,2,98,0.12
79.00,1.00,0.80,t,North Cambridge,2,1,1,1,1,100,0.23
95.00,0.90,0.65,t,Cambridgeport,2,1,1,1,1,95,0.52
255.00,0.88,0.78,f,Riverside,4,1,1,1,3,87,0.87
125.00,N/A,0.74,t,Agassiz,1,1,1,1,1,96,0.76
95.00,0.90,0.65,t,Cambridgeport,1,1,1,1,1,94,0.78
179.00,1.00,1.00,t,Wellington-Harrington,5,1,2,2,1,94,5.02
125.00,N/A,0.74,t,North Cambridge,1,1,1,1,1,97,0.98
65.00,1.00,0.90,t,North Cambridge,3,1,1,1,1,93,4.45
23.00,1.00,0.43,f,The Port,2,1,1,1,1,84,1.49
33.00,1.00,0.43,f,The Port,1,1,1,1,1,89,2.09
160.00,1.00,0.38,f,Strawberry Hill,3,1,2,2,2,99,0.27
135.00,0.50,N/A,f,Mid-Cambridge,5,2,2,3,1,100,0.07
155.00,1.00,0.99,t,The Port,3,1,1,2,2,97,5.17
200.00,1.00,0.92,t,The Port,3,1,1,2,1,98,2.1
469.00,1.00,1.00,t,Cambridgeport,6,1,3,3,6,96,6.17
698.00,1.00,0.00,f,Wellington-Harrington,4,2,2,2,6,96,0.46
200.00,0.93,0.52,t,Neighborhood Nine,4,1,2,2,2,97,0.8
134.00,0.33,0.20,f,The Port,4,1,2,2,1,98,0.5
140.00,1.00,0.99,t,East Cambridge,2,1,1,1,1,98,3.79
140.00,1.00,0.99,t,East Cambridge,2,1,1,2,1,97,2.59
72.00,1.00,0.34,f,Neighborhood Nine,2,2,1,1,1,80,0.05
95.00,1.00,0.84,t,Neighborhood Nine,2,1,1,1,3,97,1.72
145.00,0.93,0.99,f,North Cambridge,2,1,0,2,1,93,0.42
190.00,0.93,0.99,f,North Cambridge,5,2,2,3,4,88,0.23
375.00,N/A,0.44,f,Neighborhood Nine,4,1,2,2,1,96,0.7
170.00,0.88,0.78,f,Riverside,4,1,1,1,2,89,1.52
140.00,1.00,0.90,t,Mid-Cambridge,2,1,1,1,1,99,1.31
120.00,0.33,0.00,f,Neighborhood Nine,2,1,1,1,2,80,0.01
170.00,1.00,0.90,t,Mid-Cambridge,4,1,2,2,3,99,0.55
240.00,0.88,0.78,f,Riverside,4,1,2,2,4,85,0.56
90.00,1.00,1.00,f,Mid-Cambridge,2,1,1,1,1,96,1.14
79.00,0.50,1.00,t,Strawberry Hill,1,1,1,1,1,97,0.4
259.00,0.92,0.57,f,Area 2/MIT,3,1,1,2,1,94,0.25
272.00,0.92,0.57,f,East Cambridge,5,2,2,3,1,99,0.41
225.00,1.00,0.60,f,Cambridgeport,3,2,2,2,3,94,0.78
330.00,N/A,0.88,f,Mid-Cambridge,3,1,1,1,1,100,0.1
160.00,1.00,0.97,t,The Port,2,1,1,1,2,98,2.05
145.00,1.00,0.95,f,Cambridgeport,2,1,1,1,2,95,2.48
